RMP ID,Last Name,First Name,Rating,Number of Ratings,Retake Percentage,Level of Difficulty,Tags
2205555,Meneses,Luis,4.3,3,100,2.3,PARTICIPATION MATTERS/CARING/GRADED BY FEW THINGS
2211388,Ioerger,Thomas,4.3,3,100,3,GIVES GOOD FEEDBACK/ACCESSIBLE OUTSIDE CLASS/PARTICIPATION MATTERS/AMAZING LECTURES/CARING
2303351,Talmage,Edward,4.3,3,67,4,TOUGH GRADER/GET READY TO READ/SKIP CLASS? YOU WON'T PASS./TESTS ARE TOUGH/CLEAR GRADING CRITERIA
2360382,Nakamura,Fabiola,4.7,3,100,2,CLEAR GRADING CRITERIA/CARING/ACCESSIBLE OUTSIDE CLASS/EXTRA CREDIT
2360845,Loguinov,Dmitri,5,3,100,4,SKIP CLASS? YOU WON'T PASS./GIVES GOOD FEEDBACK/ACCESSIBLE OUTSIDE CLASS/EXTRA CREDIT/CLEAR GRADING CRITERIA
2403406,Ghosh,Mukulika,2.3,3,34,3.7,TEST HEAVY/TOUGH GRADER/PARTICIPATION MATTERS/LOTS OF HOMEWORK/SO MANY PAPERS
2576199,Aznaveh,Mohsen,3,3,67,3.3,CLEAR GRADING CRITERIA
2690703,Nemec,Andrew,4.3,3,100,3.3,ACCESSIBLE OUTSIDE CLASS/CLEAR/GRADING CRITERIA/GIVES/GOOD FEEDBACK/INSPIRATIONAL/LOTS OF HOMEWORK
2558262,Kalantari,Nima,3,3,67,3.3,LOTS OF HOMEWORK/GIVES GOOD FEEDBACK/TOUGH GRADER/SKIP CLASS?/YOU WON'T PASS./ACCESSIBLE OUTSIDE CLASS
1473778,Murphy,Robin,1.3,3,0,3.7,TOUGH GRADER/GET READY TO READ/PARTICIPATION MATTERS/GROUP PROJECTS/LOTS OF HOMEWORK
2769238,Garay,Juan,1,3,0,4.7,"LECTURE HEAVY"
1927583,Hammond,Tracy,2.5,2,0,3,PARTICIPATION MATTER/SKIP CLASS? YOU WON'T PASS./GIVES GOOD FEEDBACK/BEWARE OF POP QUIZZES/RESPECTED
2068941,Ward,Ronald,2.3,2,-1,4,SKIP CLASS? YOU WON'T PASS./LOTS OF HOMEWORK/GET READY TO READ/LECTURE HEAVY
2115486,Amato,Nancy,1.5,2,-1,4,SKIP CLASS? YOU WON'T PASS/LOTS OF HOMEWORK/GET READY TO READ/LECTURE HEAVY
2147051,Hu,Xia,4.8,2,100,4,GROUP PROJECTS/PARTICIPATION MATTERS/GIVES GOOD FEEDBACK/ACCESSIBLE OUTSIDE CLASS
2221522,Jimenez,Daniel,4.5,2,100,3.5,RESPECTED/GIVES GOOD FEEDBACK/LOTS OF HOMEWORK
2527752,Finch,Sherman,1.5,2,0,4.5,SKIP CLASS? YOU WON'T PASS/LECTURE HEAVY/TOUGH GRADER/LOTS OF HOMEWORK
2529076,Chaspari,Theodora,5,2,100,2.5,AMAZING LECTURES/EXTRA CREDIT/GROUP PROJECTS/CLEAR GRADING CRITERIA
2455025,Hordemann,Glen,5,2,100,5,TOUGH GRADER/RESPECTED/AMAZING LECTURES/INSPIRATIONAL
1473777,Shipman,Frank,5,2,100,1.5,GET READY TO READ/SO MANY PAPERS/CARING
2655871,Keyser,John,5,2,100,2.5,CARING/SKIP CLASS? YOU WON'T PASS./CLEAR GRADING CRITERIA/RESPECTED/LECTURE HEAVY
2741151,Taylor,Brennen,4.5,2,100,3,LOTS OF HOMEWOK/GET READY TO READ/EXTRA CREDIT/AMAZING LECTURES/CARING
1585511,Dos Reis,Gabriel,1.5,1,-1,5,NA
2036701,Furuta,Richard,1,1,0,5,TOUGH GRADER/GET READY TO READ/LOTS OF HOMEWORK
2165557,Ragsdale,Daniel,5,1,100,3,CLEAR GRADING CRITERIA/RESPECTED/ACCESSIBLE OUTSIDE CLASS
2253818,Andersen,Flemming,1,1,0,4,GET READY TO READ/GRADED BY FEW THINGS
2320530,Kolodziej,Scott,5,1,100,2,GIVES GOOD FEEDBACK/LOTS OF HOMEWORK/CARING
2324577,Dang,Dharanidhar,5,1,100,3,INSPIRATIONAL/RESPECTED/ACCESSIBLE OUTSIDE CLASS
2336217,Walker,Duncan,4,1,0,3,CLEAR GRADING CRITERIA/TESTS? NOT MANY/ACCESSIBLE OUTSIDE CLASS
2436122,Dass,Jyotikrishna,5,1,100,2,PARTICIPATION MATTERS/LECTURE HEAVY/ACCESSIBLE OUTSIDE CLASS
2518852,Birdwell,Randy,5,1,100,2,PARTICIPATION MATTERS/LOTS OF HOMEWORK/ACCESSIBLE OUTSIDE CLASS
2756506,Huang,Qin,1,1,0,4,TOUGH GRADER/GET READY TO READ/LOTS OF HOMEWORK
2765552,Tsai,Chia-Che,5,1,100,3,AMAZING LECTURES/CLEAR GRADING CRITERIA/ACCESSIBLE OUTSIDE CLASS
2125372,She,Sing,-1,0,-1,-1,N/A
2345615,Kumar,Saptaparni,-1,0,-1,-1,N/A
2513190,Ferreira,Carlos,-1,0,-1,-1,N/A
2591445,Zhang,Yulin,-1,0,-1,-1,N/A
2676361,Davis,Danny,-1,0,-1,-1,N/A
2621379,Sharon,Guni,-1,0,-1,-1,N/A
2775965,Hamilton,Drew,-1,0,-1,-1,N/A
